Positions,Salaries,Experience,Age,Locality
Software Engineer,60000,3,28,Stockholm
Marketing Specialist,50000,2,25,Gothenburg
Data Analyst,70000,4,32,Malmö
Project Manager,80000,5,35,Stockholm
HR Coordinator,45000,2,26,Gothenburg
Financial Analyst,75000,4,30,Malmö
UX Designer,65000,3,29,Stockholm
Project Manager,90000,6,38,Gothenburg
Customer Support Representative,48000,2,24,Malmö
Quality Assurance Engineer,62000,3,27,Stockholm
Project Manager,85000,5,34,Gothenburg
Financial Analyst,70000,4,31,Malmö
IT Support Specialist,55000,2,26,Stockholm
Project Manager,82000,6,37,Gothenburg
UX Designer,58000,3,28,Malmö
Financial Analyst,73000,4,32,Stockholm
HR Coordinator,92000,6,39,Gothenburg
UX Designer,78000,5,33,Malmö
Customer Support Representative,54000,2,25,Stockholm
Data Analyst,68000,3,29,Gothenburg
HR Coordinator,47000,2,24,Malmö
Software Engineer,63000,3,27,Stockholm
Marketing Specialist,76000,4,30,Gothenburg
Financial Analyst,59000,3,28,Malmö
UX Designer,71000,4,31,Stockholm
Marketing Specialist,49000,2,25,Gothenburg
Data Analyst,67000,3,29,Malmö
Customer Support Representative,84000,5,34,Stockholm
Financial Analyst,72000,4,32,Gothenburg
HR Coordinator,56000,2,26,Malmö
Software Engineer,66000,3,28,Stockholm
Marketing Specialist,50000,2,25,Gothenburg
Financial Analyst,89000,5,35,Malmö
Customer Support Representative,46000,2,24,Stockholm
UX Designer,69000,3,29,Gothenburg
Project Manager,75000,4,30,Malmö
IT Support Specialist,61000,3,27,Stockholm
HR Coordinator,88000,5,33,Gothenburg
Data Analyst,53000,2,26,Malmö
Quality Assurance Engineer,70000,4,31,Stockholm
Software Engineer,64000,3,28,Gothenburg
Marketing Specialist,87000,5,34,Malmö
Financial Analyst,80000,4,32,Stockholm
Customer Support Representative,55000,2,25,Gothenburg
UX Designer,59000,3,27,Malmö
Project Manager,82000,5,33,Stockholm
IT Support Specialist,50000,2,24,Gothenburg
Data Analyst,68000,4,30,Malmö
Software Engineer,76000,3,29,Stockholm
HR Coordinator,83000,5,34,Gothenburg
